Simulations,Pedestrian,Real X,Predicted X,SSE X,Real Y,Predicted Y,SSE Y
280,2,733,734.194654,1.427198114,1234,1245.593807,134.4163528
290,0,700,698.2690349,2.996240213,1076,1062.886538,171.9628794
290,1,734,734.4953012,0.245323321,1184,1191.438987,55.33852919
290,2,733,734.770204,3.133622344,1234,1245.506617,132.4022447
300,0,700,698.6625455,1.788784497,1076,1062.504926,182.1170126
300,1,734,735.2234037,1.496716634,1184,1190.623613,43.87225239
300,2,733,735.3260269,5.410401251,1234,1245.635849,135.3929761
310,0,700,696.9076063,9.562898749,1076,1063.84174,147.8232819
310,1,734,735.6274575,2.648617934,1184,1190.918859,47.87060656
310,2,733,734.0533744,1.109597608,1234,1245.401166,129.9865884
320,0,700,699.2044851,0.632843979,1076,1063.80468,148.7258188
320,1,734,734.544038,0.295977356,1184,1192.006076,64.09724957
320,2,733,734.490581,2.221831683,1234,1245.308897,127.8911544
330,0,700,699.8995527,0.010089661,1076,1063.334166,160.4233443
330,1,734,734.5082642,0.258332538,1184,1191.879347,62.08411179
330,2,733,734.9234042,3.6994836,1234,1243.40859,88.52156701
340,0,700,699.1944911,0.64884466,1076,1062.704349,176.7743429
340,1,734,735.2612931,1.590860252,1184,1191.487945,56.06931783
340,2,733,734.9590133,3.837733294,1234,1244.924453,119.3436651
350,0,700,699.3149644,0.469273804,1076,1063.659537,152.2870371
350,1,734,734.3692475,0.136343708,1184,1190.373543,40.62205001
350,2,733,734.7750356,3.150751214,1234,1246.385772,153.4073483
360,0,700,697.9759719,4.09668966,1076,1063.711658,151.0033466
360,1,734,735.7847767,3.18542783,1184,1192.232506,67.77415012
360,2,733,735.1125322,4.462792122,1234,1245.472195,131.6112664
370,0,700,699.1413463,0.737286244,1076,1064.016081,143.6143119
370,1,734,734.7486474,0.560472867,1184,1190.265867,39.26109151
370,2,733,735.0522761,4.211837164,1234,1247.416545,180.0036906
380,0,700,698.6937605,1.706261657,1076,1063.975646,144.5850921
380,1,734,734.8953722,0.801691311,1184,1190.021475,36.25816304
380,2,733,735.4649673,6.076063633,1234,1247.001733,169.0450583
390,0,700,699.6819078,0.101182666,1076,1063.773568,149.4856309
390,1,734,734.1936073,0.037483787,1184,1191.574658,57.37544592
390,2,733,735.014698,4.059008071,1234,1246.250641,150.0781973
400,0,700,698.5815309,2.012054593,1076,1062.715716,176.472191
400,1,734,734.5749518,0.330569603,1184,1190.608533,43.67270279
400,2,733,735.0798555,4.32579886,1234,1244.799694,116.6334006
410,0,700,698.3035921,2.877799803,1076,1063.855932,147.4783849
410,1,734,735.2361882,1.528161334,1184,1190.748101,45.53687043
410,2,733,734.820445,3.314020106,1234,1247.346942,178.1408593
420,0,700,699.2051579,0.631773952,1076,1063.128111,165.685526
420,1,734,735.4312707,2.048535922,1184,1191.00793,49.11107961
420,2,733,735.49105,6.205330275,1234,1245.538538,133.1378501
